parameter,substrate,sample_name,treatment,time,dose,replicate,NDF,ADF,Hemicellulose
Fiber,bsg,bsg_raw,raw,0,0,1,58.7,25,33.7
Fiber,bsg,bsg_raw,raw,0,0,2,60.1,26,34.1
Fiber,bsg,bsg_raw,raw,0,0,3,59.3,25.6,33.7
Fiber,bsg,bsg_raw,raw,0,0,4,59.3,26.5,32.8
Fiber,bsg,bsg_3d_control,NH3,3,0,1,62.5,27.7,34.8
Fiber,bsg,bsg_3d_control,NH3,3,0,2,61.5,29.7,31.9
Fiber,bsg,bsg_3d_control,NH3,3,0,3,61,28.8,32.2
Fiber,bsg,bsg_3d_1,NH3,3,1,1,60.4,29.9,30.5
Fiber,bsg,bsg_3d_1,NH3,3,1,2,59.4,30.1,29.3
Fiber,bsg,bsg_3d_1,NH3,3,1,3,60.8,29.9,30.9
Fiber,bsg,bsg_3d_5,NH3,3,5,1,53.9,27.4,26.5
Fiber,bsg,bsg_3d_5,NH3,3,5,2,48.5,26.4,22.1
Fiber,bsg,bsg_3d_5,NH3,3,5,3,54.5,32.5,21.9
Fiber,bsg,bsg_7d_control,NH3,7,0,1,59.9,30.6,29.3
Fiber,bsg,bsg_7d_control,NH3,7,0,2,54.8,27.7,27.1
Fiber,bsg,bsg_7d_control,NH3,7,0,3,57.5,27.1,30.4
Fiber,bsg,bsg_7d_1,NH3,7,1,1,57.6,30.1,27.5
Fiber,bsg,bsg_7d_1,NH3,7,1,2,59,33.5,25.4
Fiber,bsg,bsg_7d_1,NH3,7,1,3,57.6,28.8,28.8
Fiber,bsg,bsg_7d_5,NH3,7,5,1,49.8,26.2,23.6
Fiber,bsg,bsg_7d_5,NH3,7,5,2,49.1,26,23.1
Fiber,bsg,bsg_7d_5,NH3,7,5,3,50.1,29.8,20.3
